city,state,date,type,description,source,severity
Chicago,IL,Unknown,POLICE_VIOLENCE,Evanston mayor among protesters hit with tear gas at ICE facility - Axios Chicago(opens in a new tab),https://www.axios.com/local/chicago/2025/09/19/daniel-biss-protesters-tear-gas-ice-broadview-agents,8
Chicago,IL,Unknown,ICE_OPERATION,New Federal Court Filing Challenges Trump Administration's Most Recent Violent and Illegal Arrest Tactics in Chicago Area - National Immigrant Justice,https://immigrantjustice.org/press-release/new-federal-court-filing-challenges-trump-administrations-most-recent-violent-and-illegal-arrest-tactics-in-chicago-area/,6
Mount Prospect,IL,Unknown,ICE_OPERATION,New Federal Court Filing Challenges Trump Administration's Most Recent Violent and Illegal Arrest Tactics in Chicago Area - National Immigrant Justice,https://immigrantjustice.org/press-release/new-federal-court-filing-challenges-trump-administrations-most-recent-violent-and-illegal-arrest-tactics-in-chicago-area/,6
Chicago,IL,Unknown,ICE_OPERATION,Bulgarian Chicago business owner Nenko Gantchev dies in ICE custody; family and congresswoman call for 'immediate investigation' - ABC7 Chicago(opens ,https://abc7chicago.com/post/bulgarian-chicago-business-owner-nenko-gantchev-dies-ice-custody-family-congresswoman-call-immediate-investigation/18301520/,6
Washington,DC,Unknown,ICE_OPERATION,Lawsuit accuses ICE of illegally arresting Latino immigrants in D.C. - Washington Post(opens in a new tab),https://www.washingtonpost.com/immigration/2025/09/25/dc-ice-arrests-lawsuit-trump/,6
Hyattsville,MD,Unknown,POLICE_VIOLENCE,Community outrage after ICE arrest in Maryland turns chaotic - CBS Baltimore(opens in a new tab),https://www.cbsnews.com/baltimore/news/prince-georges-county-ice-arrest-caught-on-camera-hyattsville/,7
Alamosa,CO,Unknown,POLICE_VIOLENCE,"“There’s a baby!” ICE agents stop Alamosa family at gunpoint, smash car window - The Colorado Sun(opens in a new tab)",https://coloradosun.com/2025/10/01/ice-alamosa-arrest-gunpoint-infant/,8
New York City,NY,Unknown,POLICE_VIOLENCE,U.S. Agent Pushes Woman to Floor in Immigration Courthouse Confrontation - The New York Times(opens in a new tab),https://www.nytimes.com/2025/09/25/nyregion/ice-push-woman-nyc.html,7
Washington,DC,Unknown,ICE_OPERATION,"Bowser pressed on D.C. police, immigration enforcement in tense meeting - The Washington Post(opens in a new tab)",https://www.washingtonpost.com/dc-md-va/2025/10/17/bowser-mpd-ice-immigration-enforcement/,7
Chicago,IL,Unknown,POLICE_VIOLENCE,"Journalist shot in head, face with pepper balls at Illinois immigration facility - U.S. Press Freedom Tracker(opens in a new tab)",https://pressfreedomtracker.us/all-incidents/journalist-shot-in-head-face-with-pepper-balls-at-illinois-immigration-facility/,8
Los Angeles,CA,Unknown,ICE_OPERATION,California Green-Card Applicant Detained by ICE at Appointment - Newsweek(opens in a new tab),https://www.newsweek.com/california-green-card-applicant-detained-by-ice-at-appointment-11194931,5
Chicago,IL,Unknown,POLICE_VIOLENCE,ICE fires baton rounds at protesters in Broadview(opens in a new tab),https://www.chicagotribune.com/2025/09/26/ice-baton-rounds-tear-gas-chicago/,8
Broadview,IL,Unknown,POLICE_VIOLENCE,"Photographer shot with pepper balls at Illinois ICE facility, camera damaged - U.S. Press Freedom Tracker(opens in a new tab)",https://pressfreedomtracker.us/all-incidents/photographer-shot-with-pepper-balls-at-illinois-ice-facility-camera-damaged/,8
Chicago,IL,Unknown,POLICE_VIOLENCE,Pepper ball fired at CBS Chicago reporter part of incidents involving media outside Broadview ICE facility - CBS Chicago(opens in a new tab),https://www.cbsnews.com/chicago/news/incidents-involving-media-outside-broadview-ice-facility/,8
Chicago,IL,Unknown,POLICE_VIOLENCE,Video of agents pushing 70-year-old veteran sparks outrage – NBC Chicago(opens in a new tab),https://www.nbcchicago.com/news/local/video-federal-agents-protester-arrest-sparks-outrage-broadview-ice/3832890/,8
Chicago,IL,Unknown,ICE_OPERATION,"Mother and children detained in Millennium Park released from ICE custody, father flown to Texas detention center: 'We're praying for a miracle' - Chi",https://www.chicagotribune.com/2025/10/02/millennium-park-arrest-ice-released/,6
Portland,OR,Unknown,POLICE_VIOLENCE,Hundreds protest at ICE building after Trump’s announcement of troop deployment to Portland - OPB(opens in a new tab),https://www.opb.org/article/2025/09/28/hundreds-protest-portland-ice-trump-deployment/,7
San Diego,CA,Unknown,ICE_OPERATION,ICE detains parents of U.S. Marine in San Diego; father later deported - NBC 7(opens in a new tab),https://www.nbcsandiego.com/news/local/ice-detains-parents-of-marine-san-diego/3914030/,5
Chicago,IL,Unknown,ICE_OPERATION,Grandmother detained by ICE after 47 years living legally in US over $22 bad check - The Mirror US(opens in a new tab),https://www.msn.com/en-us/news/us/grandmother-detained-by-ice-after-47-years-living-legally-in-us-over-22-bad-check/ar-AA1S5nJF?ocid=BingNewsSerp,5
